"","id","tot_bone_chuckbrisket","tot_bone_chuckclod","tot_bone_chuckroll","tot_bone_loinwing","tot_bone_plate","tot_bone_rib","tot_bone_round","tot_bone_sirloin","tot_bone_vol_chuckbrisket","tot_bone_vol_chuckclod","tot_bone_vol_chuckroll","tot_bone_vol_loinwing","tot_bone_vol_plate","tot_bone_vol_rib","tot_bone_vol_round","tot_bone_vol_sirloin","tot_fat_chuckbrisket","tot_fat_chuckclod","tot_fat_chuckroll","tot_fat_loinwing","tot_fat_plate","tot_fat_rib","tot_fat_round","tot_fat_sirloin","tot_fat_vol_chuckbrisket","tot_fat_vol_chuckclod","tot_fat_vol_chuckroll","tot_fat_vol_loinwing","tot_fat_vol_plate","tot_fat_vol_rib","tot_fat_vol_round","tot_fat_vol_sirloin","tot_musc_chuckbrisket","tot_musc_chuckclod","tot_musc_chuckroll","tot_musc_loinwing","tot_musc_plate","tot_musc_rib","tot_musc_round","tot_musc_sirloin","tot_musc_vol_chuckbrisket","tot_musc_vol_chuckclod","tot_musc_vol_chuckroll","tot_musc_vol_loinwing","tot_musc_vol_plate","tot_musc_vol_rib","tot_musc_vol_round","tot_musc_vol_sirloin","tot_vol_chuckbrisket","tot_vol_chuckclod","tot_vol_chuckroll","tot_vol_loinwing","tot_vol_plate","tot_vol_rib","tot_vol_round","tot_vol_sirloin","tot_wt_chuckbrisket","tot_wt_chuckclod","tot_wt_chuckroll","tot_wt_loinwing","tot_wt_plate","tot_wt_rib","tot_wt_round","tot_wt_sirloin"
"1","117241",5.96674604945724,3.68410524500482,9.21375249186166,3.65649900484058,6.26799581278972,4.44862440122807,10.784220234896,4.7247122777728,1472.507222016,909.184258048,2273.821773824,902.371434496,1546.851336624,1097.85660468,2661.390655488,1165.99112704,22.9946956349701,1.2163956927458,19.8551554550899,21.3011682568217,26.8146121998834,13.8554516794867,14.5441659709125,20.4230057036721,11411.715688448,666.742235136,9845.55881472,10603.534968832,13059.011266224,6839.824511784,7365.043290112,10155.778525184,32.6590265862965,5.09908256018932,43.5785509830257,21.9055236178545,19.2184105802832,16.5806280385992,57.8279739151464,26.6048036113428,14139.794284544,2144.926810112,18959.821223936,9487.42834176,8415.139068512,7214.677264256,24724.734969856,11490.741393408,27024.017195008,3720.853303296,31079.20181248,20993.334745088,23021.00167136,15152.35838072,34751.168915456,22812.511045632,61.6204682707238,9.99958349793993,72.6474589299773,46.8631908795169,52.3010185929563,34.884704119314,83.1563601209549,51.7525215927877
"2","117242",11.1341771921458,6.62840030896404,13.7983955242374,5.84693373196593,8.68000096922316,8.37123721597686,17.1274178210895,5.94911387592952,2747.755005952,1635.793989632,3405.245822976,1442.939262976,2142.099564544,2065.901105152,4226.800709632,1468.155854848,6.19468082445152,0.58130193248329,5.07577700804645,2.55537666332811,3.70038423643448,2.40560070696437,6.74436520224919,4.48249112682447,3340.981235712,340.389697536,2893.232412672,1430.372880384,2052.351664128,1313.929990144,3628.491534336,2445.689346048,52.8955040604517,9.59397917772341,82.9451224433069,25.6679906818718,26.7370459500684,26.7618625556493,83.3047718767292,29.6934562320703,22366.995060736,3923.218548736,35030.631852032,10753.539016704,11256.255285248,11322.463127552,35026.813927424,12474.798125056,28455.7313024,5899.402235904,41329.11008768,13626.851160064,15450.70651392,14702.294222848,42882.106171392,16388.643325952,70.224362077049,16.8036814191707,101.819294975591,34.0703010771658,39.1174311557261,37.5387004785905,107.176554900068,40.1250612348243
"3","117243",10.5610543538368,5.44414201305956,15.7955248112865,5.82392853182906,7.51201615046248,5.91422439840576,16.1160757197682,7.24617485116281,2606.316521472,1343.536052224,3898.108645376,1437.261910016,1853.857687552,1459.545632928,3977.216005376,1788.25187328,15.3994758580575,0.683713037023541,8.22350402246347,5.18681178837328,7.95259111741346,3.81602675183557,8.538812125679,8.59192819205779,7517.470691328,400.699189248,4284.785915904,2765.168095232,4014.582018048,1954.698721056,4454.163263744,4297.070336,42.9202699752539,8.7072341656464,69.8530089056885,27.307644132854,29.7755542440349,18.2419227393159,75.3239965962139,34.0240028366129,18178.800351232,3596.492601344,29457.871736832,11607.009009664,12623.620978688,7704.855421632,31821.088387968,14359.557378048,28302.587564032,5340.727842816,37640.766298112,15809.439014912,18492.060684288,11119.099775616,40252.467657088,20444.879587328,68.8808001871482,14.8350892157295,93.8720377394386,38.3183844530564,45.2401615119108,27.9721738895572,99.978884441661,49.8621058798335
"4","119241",6.77069287571661,6.02640517249673,11.5088685994755,4.40548038647765,6.54428465101395,5.44636533441507,14.2454683934743,5.14717421478277,1670.909751296,1487.230236672,2840.223463424,1087.209281536,1615.03545344,1344.084736,3515.5769856,1270.248665088,17.3005364676109,1.29908158517684,8.87750701022643,9.7681811940924,15.5224629264328,8.35934129151711,10.8624428822844,18.8851512923309,8424.92507136,676.191789056,4434.058385408,4872.296689664,7515.268335616,4102.485731328,5526.69353984,9340.061024256,34.5138431059135,8.59383537558374,49.1447909647423,21.7222284379011,24.1765993684401,17.5312344505505,64.1242371304031,27.5390223483681,14603.86644992,3539.254214656,20789.605410816,9219.4115584,10326.083872768,7429.06401792,27079.838148608,11680.121122816,24699.701272576,5702.676240384,28063.887259648,15178.9175296,19456.387661824,12875.634485248,36122.108674048,22290.43081216,58.585072449241,15.9193221332573,69.5311665744442,35.8958900184712,46.2433469458868,31.3369410764827,89.2321484061618,51.5713478554818
"5","119242",2.92406901551675,7.8360652380279,13.2278356813799,4.19015788908926,5.85002167829302,5.53063538968151,14.9119089697881,4.69198004670559,721.618233344,1933.828347904,3264.43984896,1034.070781952,1443.701323776,1364.881375232,3680.044947456,1157.91328256,12.8119185061574,2.67441243153654,11.7020414053688,11.7832044933652,17.2128062434886,8.00136085276323,9.92155543921983,18.1802415258895,6224.748853248,1389.46545664,5828.96495616,5829.018300416,8382.531629056,3919.4692096,5079.561986048,8934.5913344,14.7032686652713,22.5139315038837,61.4412985951277,21.3116699936755,23.3897438026032,17.1441333977281,65.959258710134,28.9686140869303,6230.83771904,9449.988294656,26123.627118592,9035.838732288,9933.134841856,7261.883119616,27879.407581184,12275.252504576,13177.204805632,12773.2820992,35217.031923712,15898.927814656,19759.367794688,12546.233704448,36639.014514688,22367.757121536,30.4392561869455,33.0244091734482,86.3711756818764,37.2850323761299,46.4525717243848,30.6761296401728,90.792723119142,51.8408356595254
"6","206241",5.11360823820724,9.0984485760079,12.6039161259902,5.14970633077098,8.5941560613299,5.3311849364144,5.55960032622967,7.82392960896242,1261.965064192,2245.366423552,3110.46546432,1270.873554944,2120.914274304,1315.65986816,1372.029505536,1930.83344896,13.590250687933,3.72054331877912,9.02877751648392,11.5608668284079,15.3388469280087,8.30206407418966,3.4482657437315,16.9242170422236,6598.64636416,1925.590470656,4501.03590912,5724.478799872,7659.694098432,4062.31750656,1743.877072896,8329.309302784,17.0691267231231,28.1507464078469,45.7784583158088,21.3002859902347,22.9197422138309,13.1457741475034,12.8162394909576,30.7584468250922,7178.399358976,11781.178005504,19342.825361408,8956.569167872,9671.755608064,5544.952516608,5310.260652032,13004.727584768,15039.010787328,15952.134899712,26954.326734848,15951.921522688,19452.3639808,10922.929891328,8426.167230464,23264.870336512,35.7729856492634,40.969738302634,67.4111519582829,38.0108591494136,46.8527452031694,26.7790231581074,21.8241055609188,55.5065934762782
"7","206242",4.302497376469,8.93994429103808,11.6430089879246,4.77433557524923,6.36913633534108,5.6202784715571,15.6715128867904,5.13074634032262,1061.794553856,2206.249842688,2873.327384576,1178.237444096,1571.811364864,1387.004000256,3867.504283648,1266.194501632,10.6763268999864,2.97250325641845,5.74351804725102,6.10180821004561,8.55939893045942,4.68137601079337,6.75615416246585,6.93392284218958,5264.567486464,1512.713549824,2969.629007872,3108.926101504,4243.733700608,2334.093162496,3545.594560512,3470.912602112,16.0574218434775,24.5945949778372,45.3529176919425,26.8282192649224,22.5118456082362,16.2604408612528,69.1237954721282,20.4282896287492,6750.578425856,10252.072527872,19211.994763264,11355.58228992,9537.99107584,6869.398945792,28991.719145472,8588.432836608,13076.940466176,13971.035920384,25054.951155712,15642.74583552,15353.536141312,10590.496108544,36404.817989632,13325.539940352,31.0362461199329,36.5070425252937,62.7394447271181,37.7043630502173,37.4403808740367,26.5620953436033,91.5514625213844,32.4929588112614
"8","206243",4.76964189683204,8.76241825669335,11.339340346118,4.28823106443782,6.85249257392138,5.27782522388218,14.5308255135612,4.85029905489578,1177.07911168,2162.438967296,2798.386325504,1058.27383296,1691.096741888,1302.491457536,3585.999024128,1196.984139776,8.73983389189508,2.71291716597606,5.09590354834257,2.48723390706811,6.87557639505339,3.64492932207829,7.78475870571274,5.8757562849554,4244.724379648,1390.524721152,2602.605285376,1351.110936576,3315.292166144,1811.357556736,4005.54397696,2928.25672704,15.5626163157524,22.9721563961897,44.6227461906091,22.4963306036248,20.9398410752936,12.9582139031392,64.4051312584641,24.5361067391947,6551.810107392,9580.376897536,18829.447862272,9581.459023872,8734.382721024,5467.123247104,27098.15809024,10305.203406848,11973.61359872,13133.340585984,24230.439473152,11990.843793408,13740.771629056,8580.972261376,34689.701091328,14430.444273664,29.0720921044795,34.4474918188591,61.0579900850697,29.2717955751308,34.6679100442684,21.8809684490997,86.720715477738,35.2621620790459
"9","206244",5.03789179426685,7.9147461104423,12.118398324981,4.09341253066135,7.18731859416836,5.92576900169668,14.471197269985,4.67765197574786,1243.279333376,1953.245657088,2990.646644736,1010.195417088,1773.726994432,1462.3946752,3571.28363008,1154.377320448,13.5528166886341,2.99166665987093,7.63099808121713,7.43255755138066,9.87267729746531,8.61538615501662,10.2009661749872,11.2581922052603,6529.626517504,1536.139298816,3818.808598528,3729.845620736,4822.96849408,4231.7236224,5215.559356416,5517.960323072,16.0590562356744,23.0601413073376,46.8574536022535,25.0070142410323,24.1049968317536,14.9051055268055,64.9946397194583,20.3802218481138,6760.066082816,9648.0707584,19716.852422656,10657.656526848,10253.169895424,6345.459283968,27483.067379712,8625.65188608,14532.971933696,13137.455714304,26526.30766592,15397.697564672,16849.865383936,12039.577581568,36269.910366208,15297.9895296,34.6497647185753,33.9665540776508,66.6068500084516,36.5329843230743,41.1649927233873,29.4462606835188,89.6668031644305,36.3160660291219
"10","206245",4.24876711037754,8.1330330363047,11.1446144507313,4.21918458456396,6.67404015567851,4.83609450179114,14.352898046194,5.56160749134228,1048.534695936,2007.11573504,2750.330771456,1041.234153472,1647.057248256,1193.478660096,3542.089080832,1372.524845056,14.4297340890855,3.6153040055273,10.7607904643159,8.23858097954355,14.3239978604194,7.34668308018144,12.877935960341,12.819096416562,6954.467792896,1860.891508736,5314.962567168,4122.185003008,7052.285917184,3616.999657472,6512.411564032,6376.437055488,17.4546624912482,28.2526896764222,49.337802661824,21.4769388460973,24.9583904244189,16.3963912096241,70.9880866420334,27.1814973558246,7336.793696256,11868.075798528,20906.993256448,9076.82998272,10582.380161024,6927.902353408,30011.89755904,11497.119842304,15339.796185088,15736.083042304,28972.286595072,14240.2491392,19281.723326464,11738.380670976,40066.398203904,19246.081742848,36.1331636907112,40.0010267182542,71.2432075768713,33.9347044102048,45.9564284405168,28.5791687915967,98.2189206485683,45.5622012637289
